OBJECTID,Id,Name,Lat,Lon,POINT_X,POINT_Y,D1641_id,discrete_sampling,Type,wdl_id,Agency,alias_id2,WQ,Stage,Flow,EC,Temp,Turb,pH,DO,Fluoro,UVA,Chloro,Chloride,Vel,Notes2,Status
147,B95468,Middle R at Middle R,37.94000114,-121.5330499,"628,839.46","4,200,455.04",,,,B95468,dwr_ncro,B95468,x,x,,x,x,,,,,,,,,"USGS moved their flow station onto a pile and collects stage, EC, temp and turbidity which is telemetered.  NCRO collects stage, temp and EC on the levee next to the pile but is not telemetered.",
148,B95500,Middle R at Borden Hw,37.89083333,-121.4883333,"632,905.74","4,194,776.60",,,C,B95500,dwr_ncro,B95500,x,x,,x,x,,,,,,,,,Not confirmed. Based on lat/long to 1 arc second from Central District. Colocated with VIC?,
149,B95540,Middle R at Mowry,37.83514791,-121.383011,"642,289.25","4,188,756.36",,,,B95540,dwr_ncro,B95540,,x,,,,,,,,,,,,Not confirmed. Based on lat/long to 1 arc second from Central District and nudged to pier,
150,B9561600,Turner Cut near Holt,37.9925,-121.4538889,"635,762.28","4,206,110.59",,,C,B9561600,dwr_ncro,TRN,x,,,x,x,x,x,x,,,x,,x,"USGS collects flow data on a pile they installed.  NCRO collects temp, pH, EC, DO, turbidity, chlorophyll on pile with USGS and uses USGS telemetry.",
151,B9528500,Victoria Canal near Byron,37.8708333,-121.53,"629,291.64","4,192,502.16",,,C,B9528500,dwr_ncro,VCU,x,,,x,x,x,x,x,,,x,,x,Not confirmed. Boat access.,
152,B9545800,Middle R near Holt,38.00305556,-121.5108985,"630,737.30","4,207,200.20",,,C,B9545800,dwr_ncro,HLT,x,,,x,x,x,,,,,x,,x,"USGS collects flow data on a pile they installed.  NCRO collects temp, EC, turbidity and chlorophyll on pile with USGS and uses USGS telemetry.  All data on CDEC",
153,B9536600,Old River Barrier near DMC (Above) - WQ,37.81025,-121.542194,"628,312.51","4,185,763.05",,,,B9536600 ,dwr_ncro,OAD,x,,,x,x,x,x,x,,,x,,,"Is this ODM? At ODM which is on a pile, USGS collects flow while NCRO collects  temp, pH, EC, DO, turbidity and chlorophyll using USGS telemetry equipment.",
154,B9529500,"Grant Line Canal near Clifton Court Forebay - WQ 

",37.82013889,-121.5446111,"627,752.99","4,186,838.83",,,C,B9529500,dwr_ncro,GLC,x,,,x,x,x,x,x,,,x,x,,"USGS measures flow whiles NCRO measures temp, EC pH, DO turbidity and chlorophyll.  USGS telemeters this data  (Station located on USGS pile 5.5 miles west of Tracy Rd. Bridge)",
155,B9512000,Holland Cut near Bethel Island,38.01638889,-121.5819444,"624,476.88","4,208,582.22",,,C,B9512000,dwr_ncro,HOL,x,,,x,x,x,,,,,,,x,"At HOL, USGS collects flow data while NCRO collects EC, temp and turbidity.  USGS telemeters the data.",
156,B9520000,Old R at Quimby Island,38.0272222,-121.5644444,"625,994.55","4,209,807.86",,,C,B9520000,dwr_ncro,ORQ,x,,,x,x,x,,,,,x,,x,,
157,B9504400,False R near Oakley,38.0558333,-121.6669444,"616,952.49","4,212,848.62",,,C,B9504400,dwr_ncro,FAL,x,,,x,x,x,,,,,x,,x,"Both FAL and ORQ are USGS station where they collect flow and NCRO collects EC, chlorophyll, temp and turbidity",
158,B9510800,Old R at Franks Tract,38.0711111,-121.5788889,"624,652.27","4,214,658.35",,,C,B9510800,dwr_ncro,OSJ,x,,,x,x,x,,x,,,x,,,"At OSJ USGS collects flow data while NCRO collects temp, EC, turbidity and chlorophyll.  USGS telemeters the data.",
159,B9409500,Mokelumne River near Highway 12 ,38.1061111,-121.571111,"625,274.78","4,218,552.49",,,C,B9409500,dwr_ncro,MOK,x,,,x,x,x,,,,,,,x,"At MOK, USGS collects flow data while NCRO collects temp, EC and turbidity.  USGS telemeters the data.",
160,B91479,Steamboat Slough Below Sutter Slough,38.25,-121.6020833,"622,318.39","4,234,477.53",,,,B91479,dwr_ncro,SUS,x,,,x,x,,,,,,,,,"SUS (cdec, 6/10/2015 ->) and B91479 (wdl, 10/1/1990 or 1982) same station or not?

same station name, same parameters (temp, ec), but different time period and locations

SUS (cdec, 6/10/2015 ->) and B91479 (wdl, 10/1/1990 or 1982) same station or not?

same station name, same parameters (temp, ec), but different time period and locations

",
161,B95378,Old River at Tracy Wildlife Association,37.802833,-121.457444,"635,798.21","4,185,059.93",,,,B95378,dwr_ncro,TWA,x,,,x,x,x,x,x,,,x,,,,
162,B9521600,Rock Slough at Delta Road Bridge                                  ,37.97675,-121.6200833,"621,194.11","4,204,133.53",,,,B9521600,dwr_ncro,B9521600,x,,,x,x,,,,,,,,,,
163,B9524900,Holland Cut at Holland Marina,37.97369444,-121.5812778,"624,631.51","4,203,880.00",,,,B9524900,dwr_ncro,B9524900,x,,,x,x,,x,,,,x,,,,
164,B9522500,Werner Dredger Cut near Palm Tract,37.96397222,-121.5948333,"623,426.64","4,202,761.19",,,,B9522500,dwr_ncro,B9522500,x,,,x,x,,,,,,,,,,
165,B95058,Piper Slough at Bethal Tract,38.03388889,-122.6216667,"620,982.02","4,210,523.40",,,,B95058,dwr_ncro,B95058,x,,,x,x,,,,,,,,,"Nudged. Verbal description is """"Russo's Marina at end of Piper Rd"""" but Russo's is a short distance north.",
166,B9502900,San Joaquin River at Blind Point ,38.0325,-121.719083,"612,410.88","4,210,203.73",,,,B9502900,dwr_ncro,BLP,x,,,x,x,x,x,x,,,x,,,Nudged,
167,RRI,Rough and Ready Island,37.96277611,-121.3655772,"643,575.24","4,202,944.87",,,C,B95660,dwr_des,RRI,x,x,x,x,x,x,x,x,,x,x,,x,"a station house on the very corner of that final boat dock on Rough and Ready. same as B95660, should be deleted.",
168,RVB,Sacramento River at Rio Vista,38.15974033,-121.6862425,"615,096.16","4,224,354.15",D24A,,,,dwr_des,RVB,x,x,,x,x,x,x,x,,,x,,,DWR Rio Vista site,
169,ANH,San Joaquin at Antioch,38.01784713,-121.802883,"605,075.10","4,208,474.68",D12A,,,,dwr_des,ANH,x,x,,x,x,x,x,x,,,,,,,
170,MSD,San Joaquin at Mossdale Bridge,37.78613049,-121.3064425,"649,126.07","4,183,436.80",C7A,,C,B95820,dwr_des,MSD,x,x,x,x,x,x,x,x,,,x,,x,"Flow transect is 0.25 miles ds from bridge. Was once at bridge, but ferrous metals interfered with",
171,FRE,Sacramento River at Fremont Weir (West End),38.75944444,-121.6663889,"615,789.86","4,290,918.93",,,,A02170,dwr,FRE,,x,,,,,,,,,,,,Only source is CDEC,
172,A02200,Sacramento River at Knights Landing,38.803348,-121.716391,"611,458.20","4,295,714.61",,,,A02200,dwr,POR,,x,,,,,,,,,,,,,
173,DMC,DMC Headworks,37.78,-121.588,"626,882.70","4,186,454.00",,,,,usbr,DMC,x,,,x,x,,,,,,,,,Nudged to accommodate model domain,
174,B95422,Sugar Cut,37.78836111,-121.4193889,"639,164.73","4,183,509.29",,,,B95422,dwr_ncro,SUR,x,,,x,x,,,,,,,,,,
175,B95320,Grant Line Canal East,37.820258,-121.4348562,"637,754.40","4,187,026.50",,,C,B95320,dwr_ncro,GLE,x,,x,x,x,x,x,x,,,x,x,x,"ADCP Flow Station, commence on 1/15/2013; WQ, commence on 2/15/2013",
176,B95502,Middle River above Barrier ,37.8851804,-121.4727615,"634,300.20","4,194,175.00",,,C,B95502,dwr_ncro,MAB,,,x,,x,,,,,,,,x,"ADCP Flow Station, commence on 4/23/2013",
177,B95390,Old River above Doughty Cut,37.8109973,-121.3865757,"642,021.80","4,186,071.20",,,C,B95390,dwr_ncro,ORX,x,,x,x,x,,,,,,,,x,"ADCP Flow Station, commence on 1/30/2013",
178,B95760,San Joaquin River above Dos Reis,37.8223312,-121.3177244,"648,060.20","4,187,435.70",,,C,B95760,dwr_nrco,SJD,,,x,,x,,,,,,,,x,"ADCP Flow Station, commence on 2/28/2013",
179,3.75E+14,San Francisco Bay at Northeast Shore Alcatraz Island,37.82722222,122.4216667,"550,895.24","4,186,802.78",,,,,usgs,3.75E+14,x,,,x,x,,,,,,,,,"location: unsurveyed, at end of finger pier adjacent to ferry terminal; WQ monitor since November 2013;Interruptions in record were due to malfunction of the sensing and (or) recording instrument and biological interference within the conductivity cell. The probe is set at 6 ft below the water surface at Mean Lower Low Water (MLLW). MLLW is about 16 ft. Daily maximums and minimums sometimes differ from tidal cycle (24.8 hours) maximums and minimums.

Specific conductivity records are rated excellent except for the following periods of fouling: Oct. 1, 2, Nov. 2-8, Aug. 19, 20, which are rated good.

Water temperature records are rated excellent.",
180,B9550000,Middle R at Union Point - WQ,37.890778,-121.488361,"632,918.29","4,194,773.73",,,C,B9550000,dwr_ncro,B9550000,x,,,x,x,x,x,x,,,x,,,Not confirmed. Based on lat/long to 1 arc second from Central District. Colocated with VIC?,
181,B9553100,Middle River near Howard Rd Bridge,37.876222,-121.383306,"642,184.35","4,193,313.51",,,C,B9553100,dwr_ncro,MHO,x,,,x,x,x,x,x,,,x,,,added 6/6/2014,
183,11455478,Decker Island,38.093367,-121.737267,"610,748.86","4,216,702.75",,,,,usgs,SDI,x,x,,x,x,x,,,,,,,,,
184,11455315,Cache Slough at Liberty Island,38.2431666,-121.6845667,"615,115.01","4,233,612.98",,,C,,usgs,LIB,x,x,x,x,x,x,x,x,,,x,,x,Haven't verified that CDEC name is correct. Name slightly different,
185,B91510,Yolo Bypass at Liberty Island ,38.32916667,-121.6938889,"614,160.91","4,243,144.83",,,C,B91510,dwr_ncro,LIY,,x,,,,,,,,,,,,"An additional station (B91510B) records water levels in drainage canal on Liberty Island side of levee

An additional station (B91510B) records water levels in drainage canal on Liberty Island side of  levee.",
186,B91511,Yolo Bypass at Liberty Island (Canal),38.32611111,-121.6938889,"614,165.70","4,242,805.77",,,C,B91511,dwr_ncro,LIR,,x,,,,,,,,,,,,An additional station (B91510) records water levels on Yolo Bypass side of levee,
187,B91560Q,Yolo Bypass near Lisbon Weir,38.4747608,-121.5885961,"623,117.19","4,259,436.43",,,C,B91560,dwr_ncro,LIS,x,x,x,x,x,x,,,,,x,,x,"ADCP at this site, B91560Q",
190,11336680,S Mokelumne R at New Hope BR near Walnut Grove,38.2255556,-121.4911111,"632,073.24","4,231,917.57",,,,,usgs,SMR,,x,x,,,x,,,,,,,x,"flow, stage, velocity available since 1/1/2011, turbidity since 4/16/2015, suspended sediment since 8/4/2012",
193,11336685,N Mokelumne R near Walnut Grove,38.223333,-121.5072222,"630,666.93","4,231,648.12",,,,,usgs,MKN,,,x,,,x,,,,,,,x,"flow and velocity available since 12/13/2010, turbidity and suspended since 8/14/2012",
194,B91450Q,Steamboat Slough near Sacramento River,38.191267,-121.637881,"619,281.81","4,227,913.58",,,C,B91450Q,dwr_ncro,SXS,,,x,x,x,x,,x,,,,,x,"ADCP Flow Station, commence on 6/12/2015",
195,B95050Q,Fisherman's Cut,38.06782222,-121.6488389,"618,521.74","4,214,201.84",,,,B95050Q,dwr_ncro,FCT,,,x,,x,,,,,,,,x,"ADCP Flow Station, commence on 6/5/2015",
197,B9505000,Fisherman's Cut,38.067822,-121.6488389,"618,507.54","4,214,200.85",,,C,B9505000,dwr_ncro,FCT,,,,x,x,x,,x,,,,,,"data available since 10/7/2014, very close to B95050Q",
198,B91250Q,Sacramento River Downstream of Isleton,38.17548,-121.656863,"617,644.86","4,226,137.54",,,C,B91250Q,dwr_ncro,SOI,,,x,x,x,x,,x,,,,,x,"ADCP Flow Station, commence on 6/29/2015",
199,B91470Q,Miner Slough,38.23602683,-121.666055,"616,742.94","4,232,844.40",,,,B91470Q,dwr_ncro,MIR,,,x,x,x,x,,x,,,,,x,"ADCP Flow Station, commence on 6/12/2015",
200,TWI,San Joaquin River at Twitchell Island,38.09746,-121.66872,"616,730.95","4,217,464.99",,,C,,dwr_des,TWI,,,,x,x,x,x,x,,,,,,"data available on cdec since 6/19/2015, doesn't exist on wdl as of 10/6/2015",
202,SSI,Sacramento River near Sherman Island,38.07415,-121.76174,"608,608.24","4,214,765.64",,,C,,dwr_des,SSI,,,,x,x,x,x,x,,,,,,"data available on cdec since 6/19/2015, doesn't exist on wdl as of 10/6/2015",
203,BET,Bethel Island,38.04109,-121.63219,"620,026.06","4,211,257.23",,,C,,dwr,BET,,,,x,x,x,,x,,,,,,,
204,B9504500,Bethel Island at Piper Slough,38.034023,-121.621266,"620,996.06","4,210,486.67",,,C,B9504500,dwr_ncro,B9504500,,,,x,x,x,,x,,,,,,commence 5/20/2014,
205,FRK,"Frank's Tract, Mid Tract",38.04642,-121.5981,"623,008.43","4,211,892.66",,,C,,dwr_des,FRK,,,,x,x,x,x,x,,,,,,"data available on cdec since 6/19/2015, doesn't exist on wdl as of 10/6/2015",
206,HON,Honker Bay,38.0724,-121.9392,"593,045.05","4,214,379.18",,,C,,dwr_des,HON,,,,x,x,x,x,x,,,,,,"data available on cdec since 6/19/2015, doesn't exist on wdl as of 10/6/2015",
207,RYC,Suisun Bay Cutoff Near Ryer,38.07415,-121.76174,"588,041.61","4,215,616.33",,,C,,dwr_des,RYC,,,,x,x,x,x,x,,,,,,"data available on cdec since 6/19/2015, doesn't exist on wdl as of 10/6/2015",
208,GZL,Grizzly Bay,38.12425,-121.03812,"584,309.02","4,220,037.89",,,C,,dwr_des,GZL,,,,x,x,x,x,x,,,,,,"data available on cdec since 6/19/2015, doesn't exist on wdl as of 10/6/2015",
209,B95415Q,Sugar Cut at Golden Anchor,37.7928598,-121.421495,"638,981.82","4,184,006.17",,,C,B95415Q,dwr_ncro,SGA,,,x,x,x,,,,,,,,x,"same as B9541400 ar wdl, flow data available since 3/18/2014, water temp & EC since 4/30/2014",
210,11425500,Sacramento River at Verona,38.774444,121.597222,"621,783.21","4,292,647.42",,,,,usgs,VON,,x,x,x,x,x,,,,,,,,"NWIS: Latitude 38?ø46'28"",   Longitude 121?ø35'50""   NAD27 (38.77444,-121.597222); Datum of gage: -3.00 feet above   NGVD29; CDEC: 38.77415,-121.59807",
211,B94150,S.F. Mokelumne River at New Hope Bridge,38.22527778,-121.4908333,"632,098.06","4,231,887.14",,,,B94150,dwr_ncro,SMR,,x,,,,,,,,,,,,,
212,B91475,Miner Slough at Five Points ,38.29,-121.6447222,"618,522.26","4,238,860.60",,,,B91475,,MFV,,x,,,,,,,,,,,,,
